Puzzle Number,Algorithm,Heuristic,Length of the Solution,Length of the Search Path,Execution Time (in seconds)
38,GBFS,h2,N/A,10,0.004025697708129883
38,GBFS,h3,N/A,10,0.0029876232147216797
38,GBFS,h4,N/A,10,0.0029916763305664062
38,GBFS,h5,N/A,10,0.002992868423461914
38,A/A*,h1,N/A,10,0.002992391586303711
38,A/A*,h2,N/A,10,0.0029938220977783203
38,A/A*,h3,N/A,10,0.0029888153076171875
38,A/A*,h4,N/A,10,0.002990245819091797
38,A/A*,h5,N/A,10,0.0030069351196289062
39,UCS,N/A,6,931,0.419893741607666
39,GBFS,h1,8,27,0.010956287384033203
39,GBFS,h2,8,27,0.009971380233764648
39,GBFS,h3,8,27,0.010939836502075195
39,GBFS,h4,8,89,0.038927316665649414
39,GBFS,h5,8,23,0.009972810745239258
39,A/A*,h1,6,370,0.18350982666015625
39,A/A*,h2,6,370,0.17650318145751953
39,A/A*,h3,7,55,0.025951862335205078
39,A/A*,h4,6,732,0.44877076148986816
39,A/A*,h5,6,111,0.0578455924987793
40,UCS,N/A,N/A,47,0.014985322952270508
40,GBFS,h1,N/A,31,0.009948492050170898
40,GBFS,h2,N/A,31,0.00897359848022461
40,GBFS,h3,N/A,31,0.009973764419555664
40,GBFS,h4,N/A,31,0.009973764419555664
40,GBFS,h5,N/A,31,0.011665105819702148
40,A/A*,h1,N/A,47,0.016955137252807617
40,A/A*,h2,N/A,47,0.014991998672485352
40,A/A*,h3,N/A,51,0.016953468322753906
40,A/A*,h4,N/A,47,0.015958070755004883
40,A/A*,h5,N/A,47,0.016960859298706055
41,UCS,N/A,2,44,0.023111343383789062
41,GBFS,h1,2,3,0.0009918212890625
41,GBFS,h2,2,3,0.0009975433349609375
41,GBFS,h3,2,3,0.001965045928955078
41,GBFS,h4,2,6,0.0029897689819335938
41,GBFS,h5,2,3,0.0009975433349609375
41,A/A*,h1,2,13,0.0060155391693115234
41,A/A*,h2,2,3,0.0009975433349609375
41,A/A*,h3,2,3,0.0009970664978027344
